Dayahead Market MCPs.

01/01/2023,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
CIN.MARKLND.1,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.MARKLND.2,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.MARKLND.3,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.NOBLEVL.3,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.NOBLEVL.4,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.NOBLEVL.5,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.TWINBR1,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.WHEATCTG1,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.WHEATCTG2,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.WHEATCTG3,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.WHEATCTG4,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CIN.WRHILND,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
HE.07LCPGEN1,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
HE.07LCPGEN2,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
HE.07LCPGEN3,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
HE.07LCPGEN4,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
HE.07LCPGEN5,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
HE.07LCPGEN6,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16EVCT7,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16EVCT8,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16EVST9,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16GEOR11G,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16GEOR22G,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16GEOR33G,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16GEOR44G,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16PETEE2,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16PETEE3,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16PETEE4,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16STOC4C4,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16STOC5C5,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16STOU5O5,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16STOU6O6,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16STOU7O7,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16STOUCC6,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.16STOUTR1,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
IPL.CC.IPLEV01,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.BCWF.SIG,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.BENTONCO,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.DUNNBR1SF,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.HWND1.IPL,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.INCRMLSP,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.INCROSWF,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.MICHCP12,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.NORWAPNOR,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.OAKDAPOAK,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.ROSEWRWF,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.SCHAHP16A,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.SCHAHP16B,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.SCHAHP17,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
NIPS.SCHAHP18,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
SIGE.CANL1.AMP,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
SIGE.CANL2.AMP,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
SIGE.CANL3.AMP,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
SIGE.FOWLR,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
SIGE.TROY_SOL,Zone 2,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.ADA,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.ALCONA,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.ALPENTHBA,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.ALPINE01,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.ALPINE02,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.ASSEMBLY3,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.BRNP8,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CA3.MPPA,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CA3_WPSC,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CADILAC,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CADILGMA2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CAMPBELL1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CAMPBELL2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CAMPBELL3,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CC.COVERT,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CC.JAXSON,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CC.MICHP,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CC.ZEELA2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CHS2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CHSE,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.COVERT1G,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.COVERT1S,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.COVERT2G,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.COVERT2S,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.COVERT3G,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.COVERT3S,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CRESCENT,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.CROTON,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.DR.MAROA,Zone 3,DEMREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.EXGNBB1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.EXGNBB1B,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.FILERCITY,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.GENESEE,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.GENESEPS,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.GRATIOT,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.GRATIOT1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.GRATIOT2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.GRAYLGY2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.GRAYLNG,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.GYRD1WPSC,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.GYRD2WPSC,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.GYRD3WPSC,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.HARDY,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.HODENPYL,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.HRSY10,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.HRSY9,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.ISABELLA1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.ISABELLA2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.JAXON_1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.JAXON_2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.KALK,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.KAL_RGEN_,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.KARN1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.KARN2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.KARN3,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.KARN4,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.KENCNTY1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LBWL.ASM2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LBWL.ASSM,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LBWL.CSEL,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LIVINGEN1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LIVINGEN2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LIVINGEN3,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LIVINGEN4,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LUDINGTN1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LUDINGTN2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LUDINGTN3,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LUDINGTN4,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LUDINGTN5,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LUDINGTN6,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.LWEP,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.MCV,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.MCV.MCV,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.MERIDIAN1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.MIPOWER1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.MIPOWER2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.MPPA.ASM2,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.MPPA.ASSM,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.MPPA.CHSE,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.PALISA2A1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.PINERVR1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.POLARIS1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
CONS.RENAIGEN1,Zone 3,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
