Dayahead Market MCPs.

01/01/2023,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
ALTW.CRYSTAL3,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.DAEC,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.DR.AURLD,Zone 1,DEMREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.DRUN.ESR1,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.ELKWIND,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.EMERY31,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.EMERY32,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.EMERY_1,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.EMERY_2,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.ENDV,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.ENGLFARMS,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.FAIRMONT1,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.FAIR_DSL,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.FAIR_SIG,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.FCLDFCL1,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.FPL_DAEC,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.FRNKLNCO,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.GOLDENPLN,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.GPFWIND,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.HANCOC1,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.HANCO_CF,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.HANCO_PE,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.HAWKEYE1,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.HDIVWIND,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.INDEPWIND,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.JOULGSCIP,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.JOULGSIPL,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.JOUNEAL3,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.JOUNEALS4,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.KOSSUTH,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.KOSSUTH2,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.LANSIN4,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.LEDYARD,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.LIMEC1,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.LIMEC2,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.LKFLD.IPL,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.LOSTLAKES,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.MGS_CT1,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.MGS_CT2,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.MGS_ST3.1,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.MGS_ST3.2,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.MTOWNCT1,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.MTOWNCT2,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.MTOWNCT3,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.ODINWF,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
