,DeliveryDate,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
13,2022-01-31 19:15:00,AMO_AMOCO_G1,PCCRN,27.73,N
13,2022-01-31 19:30:00,AMO_AMOCO_G1,PCCRN,25.51,N
13,2022-01-31 19:45:00,AMO_AMOCO_G1,PCCRN,24.73,N
13,2022-01-31 20:00:00,AMO_AMOCO_G1,PCCRN,24.63,N
13,2022-01-31 20:15:00,AMO_AMOCO_G1,PCCRN,23.32,N
13,2022-01-31 20:30:00,AMO_AMOCO_G1,PCCRN,22.22,N
13,2022-01-31 20:45:00,AMO_AMOCO_G1,PCCRN,21.5,N
13,2022-01-31 21:00:00,AMO_AMOCO_G1,PCCRN,22.34,N
13,2022-01-31 21:15:00,AMO_AMOCO_G1,PCCRN,22.32,N
13,2022-01-31 21:30:00,AMO_AMOCO_G1,PCCRN,21.72,N
13,2022-01-31 21:45:00,AMO_AMOCO_G1,PCCRN,21.9,N
13,2022-01-31 22:00:00,AMO_AMOCO_G1,PCCRN,21.23,N
13,2022-01-31 22:15:00,AMO_AMOCO_G1,PCCRN,20.8,N
13,2022-01-31 22:30:00,AMO_AMOCO_G1,PCCRN,20.71,N
13,2022-01-31 22:45:00,AMO_AMOCO_G1,PCCRN,20.64,N
13,2022-01-31 23:00:00,AMO_AMOCO_G1,PCCRN,20.76,N
13,2022-01-31 23:15:00,AMO_AMOCO_G1,PCCRN,18.12,N
13,2022-01-31 23:30:00,AMO_AMOCO_G1,PCCRN,12.95,N
