DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
01/31/2022,24,3,AEEC,RN,-20.37,N
01/31/2022,24,3,AJAXWIND_RN,RN,-25.48,N
01/31/2022,24,3,ALGOD_ALL_RN,RN,7.6,N
01/31/2022,24,3,ALVIN_RN,RN,12.58,N
01/31/2022,24,3,AMADEUS_ALL,RN,-19.2,N
01/31/2022,24,3,AMISTAD_ALL,RN,-4.19,N
01/31/2022,24,3,AMOCOOIL_CC1,LCCRN,12.95,N
01/31/2022,24,3,AMOCOOIL_CC2,LCCRN,12.95,N
01/31/2022,24,3,AMOCO_PUN1,PUN,12.95,N
01/31/2022,24,3,AMOCO_PUN2,PUN,12.95,N
01/31/2022,24,3,AMO_AMOCO_1,PCCRN,12.95,N
01/31/2022,24,3,AMO_AMOCO_2,PCCRN,12.95,N
01/31/2022,24,3,AMO_AMOCO_5,PCCRN,12.95,N
01/31/2022,24,3,AMO_AMOCO_G1,PCCRN,12.95,N
01/31/2022,24,3,AMO_AMOCO_G2,PCCRN,12.95,N
01/31/2022,24,3,AMO_AMOCO_G3,PCCRN,12.95,N
01/31/2022,24,3,AMO_AMOCO_S1,PCCRN,12.95,N
01/31/2022,24,3,AMO_AMOCO_S2,PCCRN,12.95,N
01/31/2022,24,3,ANACACHO_ANA,RN,0.21,N
01/31/2022,24,3,ANCHOR_ALL,RN,1.3,N
01/31/2022,24,3,ANSON1_ALL,RN,-13.73,N
01/31/2022,24,3,AQUI_ALL,RN,16.92,N
01/31/2022,24,3,ARAGORN_RN,RN,-17.56,N
01/31/2022,24,3,ASTRA_RN,RN,-20.88,N
01/31/2022,24,3,ATK_ATKINSG7,RN,14.97,N
01/31/2022,24,3,AUSTPL_ALL,RN,6.4,N
01/31/2022,24,3,AVIAT_ALL,RN,-17.82,N
01/31/2022,24,3,AZURE_RN,RN,-19.06,N
01/31/2022,24,3,AZ_ALL,RN,13.41,N
01/31/2022,24,3,BAC_RN_ALL,RN,12.95,N
01/31/2022,24,3,BAFFIN_ALL,RN,7.4,N
01/31/2022,24,3,BAIRDWND_ALL,RN,-6.64,N
01/31/2022,24,3,BARROW_ALL,RN,-18.21,N
01/31/2022,24,3,BASTEN_CC1,LCCRN,7.24,N
01/31/2022,24,3,BASTEN_CCU,PCCRN,7.24,N
01/31/2022,24,3,BATCAVE_RN,RN,-1.98,N
01/31/2022,24,3,BBREEZE_1_2,RN,7.24,N
01/31/2022,24,3,BCATWD_WD_1,RN,-28.52,N
01/31/2022,24,3,BCK_RN,RN,13.12,N
01/31/2022,24,3,BIGSTAR_ALL,RN,6.99,N
01/31/2022,24,3,BLACKJAK_RN,RN,7.38,N
01/31/2022,24,3,BLSMT1_5_A_6,RN,-22.24,N
01/31/2022,24,3,BLUEJAY_RN,RN,15.26,N
01/31/2022,24,3,BOOTLEG_UN1,RN,-16.19,N
01/31/2022,24,3,BORDAS_345,RN,6.83,N
01/31/2022,24,3,BOSQUESW_CC1,LCCRN,9.55,N
01/31/2022,24,3,BOSQUESW_CC2,LCCRN,11.37,N
01/31/2022,24,3,BOSQ_BSQSU_5,PCCRN,11.37,N
01/31/2022,24,3,BOSQ_BSQS_12,PCCRN,11.37,N
01/31/2022,24,3,BOSQ_BSQS_34,PCCRN,9.55,N
01/31/2022,24,3,BRANDON_RN,RN,-20.11,N
01/31/2022,24,3,BRAUNIG_CC1,LCCRN,5.82,N
01/31/2022,24,3,BRAUNIG_VHB1,RN,5.65,N
01/31/2022,24,3,BRAUNIG_VHB2,RN,5.65,N
01/31/2022,24,3,BRAUNIG_VHB3,RN,5.65,N
01/31/2022,24,3,BRAZ_WND_ALL,RN,-19.75,N
01/31/2022,24,3,BRA_AVR1_CT2,PCCRN,5.82,N
01/31/2022,24,3,BRA_AVR_CST1,PCCRN,5.82,N
01/31/2022,24,3,BRHEIGHT_RN,RN,12.95,N
